Latitude,Longitude,PredictedClusterID
33.569,-116.079,2
34.013,-117.482,2
33.982,-118.024,2
34.187,-118.444,2
33.963,-118.355,2
32.722,-117.169,2
34.046,-117.812,2
33.748,-117.874,2
40.156,-122.221,1
38.19,-120.613,1
33.744,-118.021,2
37.062,-120.845,1
33.969,-118.09,2
36.755,-119.829,3
33.946,-117.439,2
34.107,-118.272,2
33.828,-117.925,2
33.983,-117.325,2
34.123,-117.222,2
33.878,-118.366,2
34.21,-118.462,2
34.421,-117.351,2
34.009,-118.257,2
32.694,-117.108,2
34.044,-118.162,2
36.739,-119.736,3
37.58,-120.801,1
34.015,-118.401,2
35.329,-119.053,2
35.445,-119.088,2
40.571,-122.353,1
34.023,-117.116,2
34.114,-118.153,2
38.562,-121.492,1
34.038,-118.233,2
34.038,-118.233,2
34.048,-118.187,2
34.522,-117.307,2
38.938,-121.107,1
34.1914,-118.8756,2
33.667,-118.003,2
36.093,-119.197,3
38.029,-121.888,1
34.098,-118.327,2
38.951,-119.951,1
37.823,-121.999,1
33.899,-117.517,2
35.9646,-115.8972,2
33.742,-116.958,2
32.836,-116.757,2
36.862,-119.78,3
37.663,-122.078,1
39.65,-121.56,1
33.951,-118.245,2
33.974,-118.16,2
38.31,-122.285,1
38.009,-122.098,1
40.508,-122.312,1
33.83,-118.311,2
37.478,-122.229,1
36.299,-119.591,3
33.685,-117.333,2
34.12,-117.934,2
37.311,-121.923,1
34.194,-118.429,2
36.341,-119.291,3
36.812,-119.759,3
32.746,-117.033,2
37.361,-121.959,1
33.869,-117.317,2
34.15,-118.665,2
33.823,-116.458,2
39.128,-121.554,1
38.354,-121.98,1
39.464,-121.858,1
40.308,-122.204,1
38.013,-121.354,1
36.975,-120.078,3
33.938,-116.866,2
35.292,-119.257,2
38.134,-122.222,1
40.543,-122.346,1
37.299,-120.517,1
34.049,-118.259,2
37.386,-121.928,1
38.274,-122.346,1
34.471,-117.273,2
36.683,-121.621,1
33.763,-116.401,2
35.354,-118.95,2
40.565,-122.351,1
34.106,-117.282,2
34.563,-118.058,2
37.664,-121.022,1
33.96,-118.352,2
40.595,-122.335,1
32.551,-117.047,2
33.838,-117.974,2
33.713,-116.237,2
37.945,-122.331,1
34.049,-118.259,2
40.176,-122.233,1
37.554,-121.976,1
34.038,-118.233,2
36.301,-119.783,3
33.932,-118.239,2
33.805,-117.195,2
37.351,-121.825,1
38.029,-121.3,1
34.44,-119.79,2
34.084,-118.355,2
33.902,-118.305,2
34.172,-118.155,2
33.794,-117.922,2
36.2,-120.103,3
33.93,-118.198,2
34.043,-117.655,2
40.438,-122.298,1
37.886,-122.062,1
32.556,-117.047,2
37.797,-120.997,1
33.913,-118.27,2
34.121,-118.263,2
33.932,-118.2,2
37.608,-120.992,1
34.073,-118.098,2
36.733,-119.805,3
33.651,-117.154,2
37.725,-122.179,1
33.864,-117.444,2
35.79,-119.266,3
36.243,-121.777,1
34.03,-118.144,2
34.168,-116.405,2
34.021,-117.656,2
33.854,-117.913,2
34.4,-119.3,2
35.4,-118.981,2
38.678,-121.266,1
33.816,-116.411,2
34.58,-117.425,2
33.983,-117.715,2
37.633,-121.01,1
33.975,-118.331,2
34.993,-118.881,2
33.929,-116.969,2
33.931,-117.298,2
34.072,-118.175,2
34.236,-118.418,2
33.876,-117.968,2
33.81,-117.99,2
33.745,-117.955,2
32.758,-117.073,2
37.98,-121.261,1
34.538,-117.327,2
34.129,-117.877,2
34.439,-118.575,2
33.784,-118.134,2
33.782,-118.279,2
33.932,-117.933,2
34.121,-116.432,2
38.303,-121.172,1
33.969,-118.073,2
38.303,-121.172,1
34.712,-118.148,2
34.072,-118.042,2
34.411,-119.758,2
34.172,-118.457,2
33.808,-118.255,2
33.875,-118.171,2
32.927,-115.57,2
38.622,-121.33,1
36.062,-118.999,3
37.237,-121.795,1
36.605,-119.786,3
34.668,-118.076,2
37.365,-121.85,1
37.256,-121.874,1
34.052,-118.244,2
33.695,-117.389,2
34.017,-118.256,2
34.135,-116.382,2
34.18,-118.665,2
34.098,-118.338,2
37.664,-121.027,1
37.942,-122.039,1
34.065,-118.056,2
34.068,-117.28,2
34.442,-117.336,2
33.838,-117.903,2
33.824,-117.78,2
34.032,-118.192,2
34.162,-117.334,2
38.572,-121.752,1
40.577,-122.387,1
35.395,-118.985,2
39.028,-122.665,1
32.793,-115.57,2
39.219,-121.061,1
33.582,-117.232,2
34.151,-117.351,2
34.008,-118.414,2
33.714,-117.95,2
32.736,-117.08,2
36.299,-119.635,3
40.484,-122.57,1
34.124,-117.369,2
33.793,-118.181,2
40.154,-122.236,1
33.924,-117.848,2
33.767,-117.92,2
34.416,-118.551,2
33.734,-117.898,2
36.713,-119.813,3
33.866,-118.335,2
36.548,-119.377,3
33.963,-118.165,2
38.134,-121.258,1
33.765,-118.161,2
35.047,-118.17,2
38.582,-121.494,1
35.05,-118.186,2
34.061,-117.737,2
37.699,-122.469,1
35.2659,-118.9159,2
37.689,-122.13,1
34.017,-118.264,2
38.242,-122.269,1
36.837,-120.187,3
34.025,-118.263,2
32.717,-117.165,2
37.336,-121.902,1
34.033,-118.13,2
37.458,-122.43,1
33.814,-118.182,2
35.584,-119.335,2
34.151,-118.113,2
34.142,-116.213,2
33.519,-117.687,2
33.921,-118.289,2
37.693,-122.101,1
37.684,-122.062,1
37.664,-121.001,1
37.95,-120.422,1
33.937,-118.294,2
34.187,-118.377,2
33.865,-117.975,2
34.675,-118.162,2
32.75,-117.092,2
34.675,-118.162,2
40.396,-122.22,1
38.104,-122.257,1
37.748,-122.167,1
34.004,-117.93,2
35.603,-120.659,3
34.117,-117.25,2
34.579,-118.092,2
34.871,-118.158,2
33.89,-118.304,2
37.441,-121.877,1
33.746,-116.355,2
33.631,-117.699,2
34.075,-117.749,2
32.718,-117.159,2
40.108,-122.191,1
34.069,-117.737,2
34.023,-117.731,2
36.736,-119.776,3
32.756,-117.094,2
38.048,-121.374,1
32.646,-116.983,2
38.549,-121.418,1
40.783,-124.168,1
37.999,-121.228,1
34.029,-117.686,2
34.027,-118.388,2
37.736,-122.177,1
34.065,-117.576,2
33.763,-116.401,2
34.187,-118.536,2
34.171,-118.149,2
36.983,-120.618,1
33.755,-116.959,2
35.354,-119.009,2
34.12,-117.299,2
34.888,-116.995,2
35.037,-120.485,3
38.577,-121.318,1
34.082,-117.56,2
33.84,-117.879,2
